#---------------------------- KTU 1.162 1
155249	dbḥ	dbḥ[;dbḥ/	/d-b-ḥ/;dbḥ	vb;n. m.	to sacrifice;sacrifice
155250	il	il(I)/	ỉl (I)	n. m.	god
155251	bldn	bld/+n	bld	n. m.	land
#---------------------------- KTU 1.162 2
155252	nskt	nskt/	nskt	n. f.	casting
155253	qlˤ	qlˤ/	qlʕ	n. m.	shield
#---------------------------- KTU 1.162 3
155254	ilib	ilib(I)/	ỉlỉb (I)	DN	father god
155255	alp	alp(I)/;alp(II)/	ảlp (I);ảlp (II)	n. m.;num.	(head of) cattle;(one
155256	wš	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.162 4
155257	šrp	šrp/	šrp	n. m.	burnt sacrifice
155258	w	w	w	conj.	and
155259	šlmm	šl(II)/m	šlm (II)	n. m.	communion victim / sacrifice
#---------------------------- KTU 1.162 5
155260	ṯn	ṯn(I)/	ṯn (I)	num.	two
155261	alpm	alp(I)/;alp(II)/	ảlp (I);ảlp (II)	n. m.;num.	(head of) cattle;(one
155262	wṯn	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.162 6
155263	šm	šm(I)/;š/	šm (I);š	n. m.;n. m.	name;ram
155264	lilib	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.162 7
155265	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155266	hl	hl	hl	deictic adv. functor	behold
155267	š	š/	š	n. m.	ram
#---------------------------- KTU 1.162 8
155268	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155269	bˤl	bˤl(II)/;bˤl(I)/;bˤl[	bʕl (II);bʕl (I);/b-ʕ-l/	n. m./DN;n. m.;vb	Baʿlu;labourer;to make
155270	š	š/	š	n. m.	ram
#---------------------------- KTU 1.162 9
155271	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155272	dgnš	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.162 10
155273	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155274	yrḫš	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.162 11
155275	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155276	lymš	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.162 12
155277	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155278	il	il(I)/	ỉl (I)	n. m.	god
155279	tˤḏr	tˤḏr/	tʕḏr	n. m.	help
#---------------------------- KTU 1.162 13
155280	bˤl	bˤl(II)/;bˤl(I)/;bˤl[	bʕl (II);bʕl (I);/b-ʕ-l/	n. m./DN;n. m.;vb	Baʿlu;labourer;to make
155281	š	š/	š	n. m.	ram
#---------------------------- KTU 1.162 14
155282	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155283	ˤnt	ˤnt(I)/;ˤnt(II);ˤn(I)/	ʕnt (I);ʕnt (II);ʕn (I)	DN;adv.;n. f.	sister;now;eye
155284	ḫblyš	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.162 15
155285	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155286	amšrt	?	?	?	?	DULAT: NOT FOUND
155287	š	š/	š	n. m.	ram
#---------------------------- KTU 1.162 16
155288	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155289	dr	dr/	dr	n. m.	circle
155290	il	il(I)/	ỉl (I)	n. m.	god
#---------------------------- KTU 1.162 17
155291	w	w	w	conj.	and
155292	pḫr	pḫr(I)/;pḫr(II)/	pḫr (I);pḫr (II)	n. m.;n. m.	assembly;potter
155293	bˤl	bˤl(II)/;bˤl(I)/;bˤl[	bʕl (II);bʕl (I);/b-ʕ-l/	n. m./DN;n. m.;vb	Baʿlu;labourer;to make
#---------------------------- KTU 1.162 18
155294	gdlt	gdl(I)/t=	gdlt (I)	n. f.	head of cattle
#---------------------------- KTU 1.162 19
155295	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155296	ṣpn	ṣpn/	ṣpn	TN/DN	north
155297	gdlt	gdl(I)/t=	gdlt (I)	n. f.	head of cattle
#---------------------------- KTU 1.162 20
155298	w	w	w	conj.	and
155299	pamt	pa/m	pảm(t)	n. f.	time
155300	ṯn	ṯn(I)/	ṯn (I)	num.	two
#---------------------------- KTU 1.162 21
155301	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155302	ˤšrm	ˤšrm/	ʕšrm	n. num.	twenty
#---------------------------- KTU 1.162 22
155303	mlsm	mlsm/	mlsm	n. m.	race
155304	mrkbt	mrkb/t=	mrkbt	n. f.	(light war-)chariot
#---------------------------- KTU 1.162 23
155305	mtrn	mtrn/	mtrn	n. m.	surplus
